Title,Author(s),Year,Publisher,Series
The Terrible Stork,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
King Joe Cay,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
The Wee Ones,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
Terror Takes 7,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
The Thing That Pursued,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
Trouble on Parade,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
The Screaming Man,"Lester Dent, Kenneth Robeson",1945,Street And Smith,Doc Savage
Measures for a Coffin,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Se-Pah-Poo,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Terror and the Lonely Widow,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Five Fathoms Dead,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Death is a Round Black Spot,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Colors for Murder,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Fire and Ice,"William G. Bogart, Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
Three Times a Corpse,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
The Exploding Lake,"Lester Dent, Harold A. Davis, Kenneth Robeson",1946,Street And Smith,Doc Savage
Death in Little Houses,"William G. Bogart, Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
The Devil Is Jones,"Lester Dent, Kenneth Robeson",1946,Street And Smith,Doc Savage
The Disappearing Lady,"William G. Bogart, Kenneth Robeson",1946,Street And Smith,Doc Savage
Target for Death,"William G. Bogart, Kenneth Robeson",1947,Street And Smith,Doc Savage
The Death Lady,"William G. Bogart, Kenneth Robeson",1947,Street And Smith,Doc Savage
Danger Lies East,"Lester Dent, Kenneth Robeson",1947,Street And Smith,Doc Savage
No Light to Die By,"Lester Dent, Kenneth Robeson",1947,Street And Smith,Doc Savage
The Monkey Suit,"Lester Dent, Kenneth Robeson",1947,Street And Smith,Doc Savage
Let's Kill Ames,"Lester Dent, Kenneth Robeson",1947,Street And Smith,Doc Savage
Once Over Lightly,"Lester Dent, Kenneth Robeson",1947,Street And Smith,Doc Savage
I Died Yesterday,"Lester Dent, Kenneth Robeson",1948,Street And Smith,Doc Savage
The Pure Evil,"Lester Dent, Kenneth Robeson",1948,Street And Smith,Doc Savage
Terror Wears No Shoes,"Lester Dent, Kenneth Robeson",1948,Street And Smith,Doc Savage
The Angry Canary,"Lester Dent, Kenneth Robeson",1948,Street And Smith,Doc Savage
The Swooning Lady,"Lester Dent, Kenneth Robeson",1948,Street And Smith,Doc Savage
The Green Master,"Lester Dent, Kenneth Robeson",1949,Street And Smith,Doc Savage
Return From Cormoral,"Lester Dent, Kenneth Robeson",1949,Street And Smith,Doc Savage
Up From Earth's Center,"Lester Dent, Kenneth Robeson",1949,Street And Smith,Doc Savage
"In Hell, Madonna / The Red Spider","Lester Dent, Kenneth Robeson",1979,Street And Smith,Doc Savage
Escape from Loki,"Philip Jose Farmer, Kenneth Robeson",1991,Street And Smith,Doc Savage
Python Isle,"Lester Dent, Will Murray, Kenneth Robeson",1991,Street And Smith,Doc Savage
White Eyes,"Lester Dent, Will Murray, Kenneth Robeson",1992,Street And Smith,Doc Savage
The Frightened Fish,"Lester Dent, Will Murray, Kenneth Robeson",1992,Street And Smith,Doc Savage
The Jade Ogre,"Lester Dent, Will Murray, Kenneth Robeson",1992,Street And Smith,Doc Savage
Flight into Fear,"Lester Dent, Will Murray, Kenneth Robeson",1993,Street And Smith,Doc Savage
The Whistling Wraith,"Lester Dent, Will Murray, Kenneth Robeson",1993,Street And Smith,Doc Savage
The Forgotten Realm,"Lester Dent, Will Murray, Kenneth Robeson",1993,Street And Smith,Doc Savage
The Desert Demons,"Lester Dent, Will Murray, Kenneth Robeson",2011,Street And Smith,Doc Savage
Horror in Gold,"Lester Dent, Will Murray, Kenneth Robeson",2011,Street And Smith,Doc Savage
The Infernal Buddha,"Lester Dent, Will Murray, Kenneth Robeson",2012,Street And Smith,Doc Savage
Death's Dark Domain,"Lester Dent, Will Murray, Kenneth Robeson",2012,Street And Smith,Doc Savage
Skull Island,"Will Murray, Kenneth Robeson",2013,Street And Smith,Doc Savage
The Miracle Menace,"Lester Dent, Will Murray, Kenneth Robeson",2013,Street And Smith,Doc Savage
Phantom Lagoon,"Lester Dent, Will Murray, Kenneth Robeson",2013,Street And Smith,Doc Savage
The War Makers,"Will Murray, Ryerson Johnson, Kenneth Robeson",2014,Street And Smith,Doc Savage
The Ice Genius,"Lester Dent, Will Murray, Kenneth Robeson",2014,Street And Smith,Doc Savage
The Sinister Shadow,"Lester Dent, Will Murray, Kenneth Robeson",2015,Street And Smith,Doc Savage
The Secret of Satan's Spine,"Lester Dent, Will Murray, Kenneth Robeson",2015,Street And Smith,Doc Savage
Glare of the Gorgon,"Lester Dent, Will Murray, Kenneth Robeson",2016,Street And Smith,Doc Savage
Empire of Doom,"Lester Dent, Will Murray, Kenneth Robeson",2017,Street And Smith,Doc Savage
Mr. Calamity,"Lester Dent, Will Murray, Kenneth Robeson",2018,Street And Smith,Doc Savage
The Valley of Eternity,"Lester Dent, Will Murray, Kenneth Robeson",2018,Street And Smith,Doc Savage
The Spider Strikes,R.T.M. Scott,1933,Popular Publications,The Spider
The Wheel of Death,R.T.M. Scott,1933,Popular Publications,The Spider
Wings of the Black Death,"Grant Stockbridge, Norvell Page",1933,Popular Publications,The Spider
City of Flaming Shadows,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Empire of Doom,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
The Citadel of Hell,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Serpent of Distruction,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
The Mad Horde,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Satan's Death Blast,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Corpse Cargo,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Prince of the Red Looters,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Reign of the Silver Terror,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Builders of the Black Empire,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
Death's Crimson Juggernaut,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
The Red Death Rain,"Grant Stockbridge, Norvell Page",1934,Popular Publications,The Spider
The City Destroyer,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
The Pain Emperor,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
The Flame Master,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Slaves of the Crime Master,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Reign of the Death Fiddler,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Hordes of the Red Butcher,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Dragon Lord of the Underworld,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Master of the Death-Madness,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
King of the Red Killers,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Overlord of the Damned,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Death Reign of the Vampire King,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
Emperor of the Yellow Death,"Grant Stockbridge, Norvell Page",1935,Popular Publications,The Spider
The Mayor of Hell,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
Slaves of the Murder Syndicate,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
Green Globes of Death,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
The Cholera King,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
Slaves of the Dragon,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
Legions of Madness,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
Laboratory of the Damned,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
Satan's Sightless Legion,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
The Coming of the Terror,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
The Devil's Death Dwarfs,"Grant Stockbridge, Norvell Page",1936,Popular Publications,The Spider
City of Dreadful Night,"Grant Stockbridge, Emile C. Tepperman",1936,Popular Publications,The Spider
Reign of the Snake Men,"Grant Stockbridge, Emile C. Tepperman",1936,Popular Publications,The Spider
Dictator of the Damned,"Grant Stockbridge, Emile C. Tepperman",1937,Popular Publications,The Spider
The Mill-Town Massacres,"Grant Stockbridge, Emile C. Tepperman",1937,Popular Publications,The Spider
Satan's Workshop,"Grant Stockbridge, Emile C. Tepperman",1937,Popular Publications,The Spider
Scourge of the Yellow Fangs,"Grant Stockbridge, Emile C. Tepperman",1937,Popular Publications,The Spider
Devil's Pawnbroker,"Grant Stockbridge, Emile C. Tepperman",1937,Popular Publications,The Spider
Voyage of the Coffin Ship,"Grant Stockbridge, Emile C. Tepperman",1937,Popular Publications,The Spider
The Man Who Ruled in Hell,"Grant Stockbridge, Norvell Page",1937,Popular Publications,The Spider
Slaves of the Black Monarch,"Grant Stockbridge, Wayne Rogers",1937,Popular Publications,The Spider
Machine Guns over the White House,"Grant Stockbridge, Norvell Page",1937,Popular Publications,The Spider
The City that Dared Not Eat,"Grant Stockbridge, Wayne Rogers",1937,Popular Publications,The Spider
Master of the Flaming Horde,"Grant Stockbridge, Norvell Page",1937,Popular Publications,The Spider
Satan's Switchboard,"Grant Stockbridge, Wayne Rogers",1937,Popular Publications,The Spider
Legions of the Accursed Light,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
The City of Lost Men,"Grant Stockbridge, Wayne Rogers",1938,Popular Publications,The Spider
The Gray Horde Creeps,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
City of Whispering Death,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
When Thousands Slept in Hell,"Grant Stockbridge, Wayne Rogers",1938,Popular Publications,The Spider
Satan's Shackles,"Grant Stockbridge, Wayne Rogers",1938,Popular Publications,The Spider
The Emperor from Hell,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
The Devil's Candlesticks,"Grant Stockbridge, Wayne Rogers",1938,Popular Publications,The Spider
The City that Paid to Die,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
The Spider at Bay,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
Scourge of the Black Legions,"Grant Stockbridge, Norvell Page",1938,Popular Publications,The Spider
The Withering Death,"Grant Stockbridge, Wayne Rogers",1938,Popular Publications,The Spider
Claws of the Golden Dragon,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
The Song of Death,"Grant Stockbridge, Wayne Rogers",1939,Popular Publications,The Spider
The Silver Death Rain,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
Blight of the Blazing Eye,"Grant Stockbridge, Wayne Rogers",1939,Popular Publications,The Spider
King of the Fleshless Legion,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
Rule of the Monster Men,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
The Spider and the Slaves of Hell,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
The Spider and the Fire God,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
The Corpse Broker,"Grant Stockbridge, Wayne Rogers",1939,Popular Publications,The Spider
The Spider and the Eyeless Legion,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
The Spider and the Faceless One,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
Satan's Murder Machines,"Grant Stockbridge, Norvell Page",1939,Popular Publications,The Spider
The Spider and the Pain Master,"Grant Stockbridge, Emile C. Tepperman",1940,Popular Publications,The Spider
Hell's Sales Manager,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
Slaves of the Laughing Death,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
The Man from Hell,"Grant Stockbridge, Emile C. Tepperman",1940,Popular Publications,The Spider
The Spider and the War Emperor,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
Judgment of the Damned,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
Dictator's Death Merchants,"Grant Stockbridge, Emile C. Tepperman",1940,Popular Publications,The Spider
Pirates from Hell,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
Master of the Night-Demons,"Grant Stockbridge, Emile C. Tepperman",1940,Popular Publications,The Spider
Council of Evil,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
The Spider and His Hobo Army,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
The Spider and the Jewels of Hell,"Grant Stockbridge, Norvell Page",1940,Popular Publications,The Spider
Harbor of Nameless Dead,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Spider and the Slave Doctor,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Spider and the Sons of Satan,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
Slaves of the Burning Blade,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Devil's Paymaster,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Benevolent Order of Death,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
Murder's Black Prince,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Spider and the Scarlet Surgeon,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Spider and the Deathless One,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
Satan's Seven Swordsmen,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
Volunteer Corpse Brigade,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
The Crime Laboratory,"Grant Stockbridge, Norvell Page",1941,Popular Publications,The Spider
Death and The Spider,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
